qubit;depth;reads;cov
25.0;337.0;30237;96.793
9.06;420.0716;33938;96.255
37.2;890.8126;68876;96.994
14.7;71.32043608;6445;82.162
26.0;327.1927;25200;89.78
31.6;1061.9533;82505;95.131
8.48;4.7472;389;0.0
17.6;821.2327;61728;98.706
45.4;920.0496;71087;96.994
31.6;96.7503;7911;91.579
33.6;136.0;13364;94.619
28.8;399.7929;31220;94.047
11.6;752.0;58121;95.325
25.5;491.0;39068;99.595
8.5;90.4106;7107;65.054
44.4;308.6393673;23426;96.034
8.88;307.0;26358;98.679
13.5;37.7551;3028;52.801
2.5;431.73;34292;97.111
62.4;352.5799084;30156;95.004
31.8;123.2531184;11298;91.673
26.0;976.9511;75733;95.131
26.4;1734.2808;129657;99.579
37.6;191.5506;15194;97.064
21.4;113.5651;8810;74.829
13.3;652.79;50788;98.679
36.2;262.1934923;21179;95.305
28.2;303.6603;23212;87.657
28.9;789.0;60621;99.595
34.8;93.55014547;8619;86.944
67.0;568.554125;46015;95.84
27.0;1600.9;126454;98.679
2.58;697.33;54868;98.679
4.8;9.9595;838;8.959
16.0;795.6575;60810;93.114
38.1;628.6344;49022;89.78
40.4;965.0;74748;95.81
39.0;193.0;15526;100.0
6.5;102.4;9331;90.185
83.8;64.73828713;27441;91.272
9.78;111.7378;8888;76.604
20.8;480.336;38157;98.82
12.3;307.975;24190;92.452
3.36;443.87;34946;98.679
14.4;404.4;34784;98.679
44.0;287.8415;22700;98.696
31.0;2027.8749;158358;96.994
51.8;516.0;39774;98.68
7.44;89.3;6910;64.495
14.7;83.0;6567;81.21
6.44;1155.22;90262;98.669
5.29;72.7;5697;81.069
29.3;1031.3;79095;99.595
33.2;257.8334;20190;94.158
10.6;160.2;12338;91.202
6.32;193.916;15352;78.119
11.9;397.9;31929;98.679
31.2;247.8917;18952;90.345
35.8;301.7608;23047;93.114
4.08;101.0;8533;92.466
39.8;595.0;68464;98.662
23.6;609.1949;47503;96.873
31.6;602.79;48600;97.95
3.8;58.0368;4702;53.332
13.7;1017.4111;76182;99.579
40.8;302.0;26812;98.662
23.2;592.4;48440;98.679
12.9;300.0;25263;98.679
19.8;855.0;66208;99.595
24.7;1152.0;88614;98.679
51.0;201.1743638;17130;93.064
68.8;1315.67;103484;98.679
24.2;1069.2824;82820;94.141
21.0;155.0;22516;100.0
8.06;281.7747;22175;81.657
27.2;252.852;19383;90.389
6.2;108.0;9021;70.919
13.5;472.2499;35456;85.52
26.0;267.6295;20473;92.262
43.2;429.88;33854;95.067
14.1;881.3379;69332;93.114
52.8;733.3179;56519;96.994
48.2;748.4422;57863;99.579
14.0;433.6124;34197;92.175
15.3;132.0;36343;56.162
28.4;2071.93;161903;98.662
37.4;150.8575059;13092;93.506
6.36;10.2044;840;8.969
30.0;777.3;60906;98.679
34.2;1433.5393;110507;99.595
20.8;98.97234391;9221;88.038
41.6;373.9119;28418;93.114
20.8;195.7993;14986;83.982
24.6;277.2068;21220;92.262
51.6;1160.4353;90314;97.866
9.62;46.3267;4557;62.308
10.7;411.7282;32219;90.493
4.86;7.0;586;0.0
16.2;388.0;30567;94.318
36.4;301.898;23376;93.947
18.3;568.2824;43856;93.954
23.6;2019.2931;151011;99.579
52.0;5380.482;418480;99.595
28.6;236.6151557;19344;96.78
18.6;117.1618;10500;89.6
10.3;284.9;22319;99.595
20.2;534.7616;41453;91.292
52.0;337.0;26245;97.95
13.3;210.283;16963;95.495
15.7;871.0;67458;98.866
21.0;196.0;96815;97.826
37.8;485.4556;38064;96.994
34.0;344.9321;26851;94.158
13.7;19.31846303;2840;46.403
34.5;706.7;55349;99.595
31.7;1373.6;104938;99.595
48.8;90.12470321;8609;87.637
4.46;1.0;92;0.0
16.6;98.67692205;9714;82.199
32.8;463.0;45212;95.281
9.82;135.62;11167;91.319
17.5;839.0;65088;99.595
61.2;337.1888;25718;93.114
22.2;1418.6789;106239;98.572
38.4;723.0971;54803;99.579
31.0;960.0887;72971;99.579
74.4;76.70584891;31893;95.141
20.4;403.1477;32876;98.82
68.6;372.0;28790;96.38
54.4;210.0;16385;93.328
25.2;347.3009;26370;93.114
81.8;57.37584858;25072;92.121
8.32;3.2529;271;2.856
20.2;715.0;56536;79.93
77.6;54.68280775;26440;90.549
27.1;928.4;71203;99.595
45.4;1102.3557;86547;97.866
9.34;33.8079;3358;45.992
9.1;208.5169;16662;86.078
23.6;738.6984;56692;99.579
16.9;644.0;77699;98.014
15.5;504.8;39944;98.679
31.1;1011.0;77530;99.595
36.4;48.07661439;6202;70.488
28.2;368.0;38307;93.302
24.7;578.4;44501;98.602
24.5;812.2;63890;99.595
54.3;1755.1987;136407;95.87
18.0;870.0;67143;97.933
31.8;2421.4466;180645;98.706
25.2;227.8439;17658;86.617
36.2;1405.6;109779;98.679
4.76;4.0;366;0.0
4.24;6.5314;542;0.0
14.2;93.56;7887;88.717
35.2;921.0;71609;98.743
21.8;586.6;45000;99.595
91.8;0.2146;17;0.0
22.2;1021.1266;79142;96.873
18.5;965.9;74718;99.595
19.7;632.9;50017;98.679
22.0;1023.3375;76664;98.706
29.2;920.5348;71193;96.994
41.2;369.4024;28110;95.027
2.2;257.0;3185;56.764
32.4;449.6656;34409;94.318
35.2;398.2242;31069;96.124
27.0;614.0;47623;97.95
13.1;40.23506003;4117;71.528
30.0;711.377;55322;96.873
53.2;79.24917232;8056;87.459
7.34;237.6781;18788;84.155
23.4;129.0091;10137;64.873
30.0;238.4639;18158;92.128
38.8;357.975;27683;99.579
29.4;411.0095;31990;90.86
13.3;500.2;38913;97.873
100.0;27.81623917;10461;88.827
22.2;170.0;17581;89.436
10.2;210.6778;16753;82.38
32.4;514.8791;39448;94.178
18.7;571.9163;44529;94.837
24.0;195.9339;15164;86.74
18.7;344.06;27284;97.743
37.2;1387.1499;106854;99.595
13.1;463.4237;34995;98.696
34.2;787.0;60929;97.82
32.2;583.0;45338;97.81
104.0;131.3372906;54078;93.947
28.2;936.006;72261;97.927
37.0;205.4261;15861;92.529
23.2;227.441;17309;86.182
69.5;999.0;76706;99.595
18.3;336.2712;26351;94.335
13.9;326.461;25840;89.633
13.2;118.7831;10662;92.111
57.2;190.7752;14575;88.804
11.4;178.8938;13833;92.288
14.1;352.5962;27543;90.439
7.38;19.2249;1839;15.958
20.6;1290.7019;96661;99.579
18.8;443.3;34132;99.595
23.8;555.0;43721;94.88
19.1;406.9;31434;97.95
32.2;181.0836371;15957;96.007
23.4;443.5793;33695;93.114
20.6;570.6008;44295;96.158
42.2;5.45811457;10198;51.426
62.8;47.62298097;22791;89.84
27.2;495.0;45771;96.793
32.4;114.9130522;11442;89.636
38.6;585.4183;45118;93.318
104.0;128.8408521;60400;92.954
56.8;633.0;48978;96.957
20.8;226.0;18014;85.931
45.4;442.82;35478;97.686
59.2;1103.1758;85278;97.866
36.4;212.5524864;19628;93.338
43.4;12.57813597;7936;70.317
48.2;195.4383507;16960;94.455
19.8;469.03;37168;98.679
31.8;138.6214;10700;91.399
2.36;24.0;1987;48.48
57.3;887.8;70008;99.595
29.2;144.0;14773;88.63
21.6;159.0;12860;92.018
30.6;1046.9527;80978;96.873
46.8;314.3858;24164;93.506
28.8;482.6249;37074;95.051
44.4;659.939;50949;96.994
20.8;950.932;73776;94.191
6.34;13.6894;1108;21.463
23.6;1222.4956;94616;95.987
36.8;655.968;50855;96.994
22.0;1295.5317;96931;98.572
1.43;564.52;44692;99.595
39.0;754.5796;57805;99.579
15.2;552.6378;41817;97.937
36.6;105.4447714;9929;84.955
16.5;642.7501;50665;96.719
44.2;1132.0;122984;99.595
38.0;1103.8866;85296;96.994
27.2;646.5065;49398;95.793
26.8;285.69;23082;96.061
20.9;573.0;44424;98.602
14.8;678.1918;51443;99.579
17.6;621.4;48026;99.595
1.74;1124.14;87920;99.595
55.4;659.3502;51089;95.057
17.0;370.6;28669;97.873
18.1;256.3147;19844;87.486
13.1;670.8682;50378;99.579
14.6;199.0;17323;96.719
18.0;1638.9482;122603;99.579
30.4;262.4965;20229;95.87
37.2;2524.9348;195468;97.866
22.0;598.8947;46586;94.358
6.12;125.4524;10045;55.426
11.8;528.6803;39480;97.154
28.8;284.7089;22821;99.579
15.1;127.563;11660;91.713
87.8;38.39892318;17041;89.8
3.38;33.0;10050;98.679
23.4;649.0;50380;98.602
9.5;429.8756;32540;96.395
43.6;444.2073;34078;98.706
33.4;426.4203;32414;93.114
44.0;964.0888;74500;98.01
48.6;267.5011;21135;98.706
40.6;45.5457312;22441;89.533
45.6;582.6927;45525;96.726
13.2;653.6999;50699;93.322
94.0;1793.43;142662;99.595
72.2;588.1098;46063;96.994
75.0;812.4758;63165;97.769
47.6;40.69029863;18759;92.643
32.6;426.0;33543;91.54
118.0;84.96993613;42547;92.86
31.2;161.7555429;15544;86.523
9.1;154.2377;11833;89.412
9.89;195.0;15956;94.308
16.9;964.5267;75559;99.579
12.1;463.2555;37088;98.696
11.8;208.0;50783;100.0
12.7;72.9441;7200;80.768
60.2;407.0;31571;98.68
44.4;173.05;13862;94.098
2.52;1134.31;88488;99.595
36.4;0.26258235;310;2.398
21.8;84.9511;6629;85.577
87.6;50.01688794;20953;89.616
41.0;173.7756;14474;99.579
19.6;195.7086;15068;88.74
29.9;915.0;92585;96.004
9.46;50.1618;4607;66.351
46.0;281.0;21886;96.957
46.6;574.8277;44376;96.994
58.6;89.08343644;37719;94.877
26.0;470.3481;36718;99.579
5.61;16.7;1298;19.386
16.2;457.9204;35125;93.305
21.2;200.3314;16069;97.037
65.8;65.90298632;29876;91.402
10.5;99.5;9039;90.121
59.0;37.2468983;17136;89.322
38.0;163.937732;14819;93.512
32.2;383.2145;29954;96.873
16.3;1917.7674;146296;99.579
21.8;735.0;60456;98.679
78.4;467.0;36214;98.68
50.6;569.6647;44084;96.994
19.5;464.5872;36100;96.081
58.0;281.0;21761;97.95
49.6;235.0261;17911;99.579
25.0;1354.0;104277;98.866
14.2;208.51;16593;87.67
36.2;566.1794;44039;97.646
15.0;87.8;9334;84.694
45.2;888.91;71405;96.104
19.2;665.6522;51682;94.198
10.3;286.75;22810;85.249
2.38;1124.92;87744;98.679
28.6;2993.3114;223467;99.579
16.3;8.4932;846;0.0
86.0;89.94739658;42009;93.088
33.0;275.2399;20944;91.553
58.4;553.017122;45573;97.82
21.6;325.2823;24951;94.114
45.6;690.9177;53896;98.679
14.4;78.0;6414;75.374
19.6;574.3;44342;99.595
10.0;482.6322;38166;91.613
24.0;1385.2869;107542;97.773
61.6;471.1816;35868;95.027
19.2;82.02;7502;86.523
14.7;738.5859;55643;99.579
74.2;745.0;57322;98.68
26.0;642.0635;50496;99.579
33.6;254.7039;20753;98.733
38.0;139.92576;11464;92.512
